pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2022-10-01,91.7,1.87,6.46,"Smyly, Drew",456781,592767,field_out,hit_into_play,,,,,4.0,"Donovan Solano grounds out, shortstop Nico Hoerner to first baseman David Bote.",R,R,L,CHC,CIN,X,6.0,ground_ball,1,0,2022,0.69,1.33,-0.48,2.52,,,571657.0,2,3,Top,121.23,160.23,,,,,-7.342362789403887,-133.29189436895751,-6.900321706469183,9.724410889228016,27.982280971238524,-15.047175965591228,3.12,1.45,7.0,97.8,-18.0,91.0,2187.0,5.9,663167,575929,623520,666624,621550,663538,664023,676369,673548,54.64,0.117,0.102,0.0,1.0,0.0,0.0,2.0,24,2,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,143.0,0.026,-0.298,,,0.117,0.298,97.8,0,0,0.528,0.472,33,34,33,35,2,1,17.0,1.0,,1.0,1.39,0.69,-0.69,44.9
SI,2022-10-01,92.5,2.02,6.39,"Smyly, Drew",456781,592767,,ball,,,,,12.0,"Donovan Solano grounds out, shortstop Nico Hoerner to first baseman David Bote.",R,R,L,CHC,CIN,B,,,0,0,2022,0.48,1.33,0.78,3.72,,,571657.0,2,3,Top,,,,,,,-4.173468751956272,-134.73130709196727,-3.919290893937483,6.729361186365274,27.858731002926113,-15.272481186493655,3.03,1.45,,,,92.2,2143.0,6.0,663167,575929,623520,666624,621550,663538,664023,676369,673548,54.53,,,,,,,,24,1,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,141.0,0.0,0.038,,,,-0.038,,0,0,0.528,0.472,33,34,33,35,2,1,17.0,1.0,,1.0,1.32,0.48,-0.48,43.8
KC,2022-10-01,79.1,2.15,6.3,"Smyly, Drew",571657,592767,single,hit_into_play,,,,,14.0,Kyle Farmer singles on a line drive to right fielder Seiya Suzuki.   Spencer Steer scores.,R,R,L,CHC,CIN,X,9.0,line_drive,2,2,2022,0.0,0.02,0.91,1.23,,668715.0,,2,3,Top,160.11,106.09,,,,,-2.661995876193232,-115.21142600083532,-4.310421060545815,0.4445141107037478,20.009108156237858,-31.404311365311617,3.27,1.48,190.0,83.1,12.0,78.4,2106.0,5.6,663167,575929,623520,666624,621550,663538,664023,676369,673548,54.91,0.623,0.574,0.9,1.0,1.0,0.0,4.0,23,5,Knuckle Curve,1,0,0,1,1,1,1,1,Standard,Standard,67.0,-0.107,0.717,,,0.696,-0.717,88.0,1,-1,0.635,0.365,33,31,33,32,2,1,17.0,1.0,,1.0,3.59,0.0,0.0,40.5
KC,2022-10-01,78.1,2.34,6.43,"Smyly, Drew",571657,592767,,blocked_ball,,,,,14.0,Kyle Farmer singles on a line drive to right fielder Seiya Suzuki.   Spencer Steer scores.,R,R,L,CHC,CIN,B,,,1,2,2022,0.42,0.01,0.68,0.48,,668715.0,,2,3,Top,,,,,,,-4.285271400883323,-113.65169257360272,-5.9203395406420976,4.3702465631309915,19.37251237631512,-31.250511719995163,3.16,1.48,,,,77.2,2243.0,5.5,663167,575929,623520,666624,621550,663538,664023,676369,673548,55.01,,,,,,,,23,4,Knuckle Curve,1,0,0,1,0,1,0,1,Standard,Standard,59.0,0.0,0.026,,,,-0.026,,1,-1,0.635,0.365,33,31,33,32,2,1,17.0,1.0,,1.0,3.7,0.42,-0.42,42.7
KC,2022-10-01,79.8,2.17,6.28,"Smyly, Drew",571657,592767,,blocked_ball,,,,,13.0,Kyle Farmer singles on a line drive to right fielder Seiya Suzuki.   Spencer Steer scores.,R,R,L,CHC,CIN,B,,,0,2,2022,0.28,0.32,-0.37,-0.02,,668715.0,,2,3,Top,,,,,,,-6.023041926223166,-115.85083858963915,-7.607547596900435,3.6847774779532454,22.369466598441782,-28.005342569948915,3.16,1.48,,,,78.7,2160.0,5.7,663167,575929,623520,666624,621550,663538,664023,676369,673548,54.75,,,,,,,,23,3,Knuckle Curve,1,0,0,1,0,1,0,1,Standard,Standard,97.0,0.0,0.023,,,,-0.023,,1,-1,0.635,0.365,33,31,33,32,2,1,17.0,1.0,,1.0,3.29,0.28,-0.28,40.4
KC,2022-10-01,79.3,2.21,6.29,"Smyly, Drew",571657,592767,,foul,,,,,9.0,Kyle Farmer singles on a line drive to right fielder Seiya Suzuki.   Spencer Steer scores.,R,R,L,CHC,CIN,S,,,0,1,2022,0.37,0.1,0.49,2.03,,668715.0,,2,3,Top,,,,,,,-4.388820135197298,-115.41505749870343,-2.7025602072498893,4.151533819530623,22.05657347548578,-30.945660190139833,3.27,1.48,3.0,55.5,-41.0,78.4,2122.0,5.7,663167,575929,623520,666624,621550,663538,664023,676369,673548,54.82,,,,,,,,23,2,Knuckle Curve,1,0,0,1,0,1,0,1,Standard,Standard,88.0,0.0,-0.056,,,,0.056,88.0,1,-1,0.635,0.365,33,31,33,32,2,1,17.0,1.0,,1.0,3.53,0.37,-0.37,40.2
KC,2022-10-01,78.4,2.1,6.4,"Smyly, Drew",571657,592767,,called_strike,,,,,2.0,Kyle Farmer singles on a line drive to right fielder Seiya Suzuki.   Spencer Steer scores.,R,R,L,CHC,CIN,S,,,0,0,2022,0.11,0.07,0.09,2.64,,668715.0,,2,3,Top,,,,,,,-4.495057044036815,-114.22158152951816,-1.447967613257061,1.7906385688969844,20.059041784244823,-31.509323693977365,3.14,1.48,,,,77.7,2189.0,5.6,663167,575929,623520,666624,621550,663538,664023,676369,673548,54.9,,,,,,,,23,1,Knuckle Curve,1,0,0,1,0,1,0,1,Standard,Standard,35.0,0.0,-0.042,,,,0.042,,1,-1,0.635,0.365,33,31,33,32,2,1,17.0,1.0,,1.0,3.62,0.11,-0.11,42.8
KC,2022-10-01,80.1,2.25,6.28,"Smyly, Drew",668715,592767,double,hit_into_play,,,,,7.0,Spencer Steer doubles (4) on a sharp line drive to left fielder Ian Happ.,R,R,L,CHC,CIN,X,7.0,line_drive,2,2,2022,0.19,-0.02,-0.56,1.89,,,,2,3,Top,31.84,108.2,,,,,-6.478346413915884,-116.5331728203232,-2.9530857865313265,2.8989554612316883,21.029546165590684,-32.01127784083569,3.46,1.64,320.0,103.2,21.0,79.3,2176.0,5.6,663167,575929,623520,666624,621550,663538,664023,676369,673548,54.86,0.626,0.884,1.25,1.0,1.0,1.0,6.0,22,6,Knuckle Curve,1,0,0,1,0,1,0,1,Standard,Standard,79.0,-0.026,0.613,,,1.451,-0.613,103.2,1,-1,0.661,0.339,33,24,33,25,2,1,17.0,1.0,,2.0,3.56,0.19,-0.19,38.4
SI,2022-10-01,92.9,2.06,6.43,"Smyly, Drew",668715,592767,,ball,,,,,12.0,Spencer Steer doubles (4) on a sharp line drive to left fielder Ian Happ.,R,R,L,CHC,CIN,B,,,1,2,2022,0.7,1.43,0.49,4.53,,,,2,3,Top,,,,,,,-5.500689427979644,-135.28241359103706,-2.1981258627433893,9.835777675132352,28.99987953232525,-14.380133087332116,3.37,1.64,,,,92.0,2192.0,5.7,663167,575929,623520,666624,621550,663538,664023,676369,673548,54.8,,,,,,,,22,5,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,142.0,0.0,0.036,,,,-0.036,,1,-1,0.661,0.339,33,24,33,25,2,1,17.0,1.0,,2.0,1.21,0.7,-0.7,42.8
SI,2022-10-01,92.7,2.05,6.39,"Smyly, Drew",668715,592767,,foul,,,,,2.0,Spencer Steer doubles (4) on a sharp line drive to left fielder Ian Happ.,R,R,L,CHC,CIN,S,,,1,2,2022,0.88,1.2,0.08,3.12,,,,2,3,Top,,,,,,,-6.884269041661464,-134.83167709656027,-5.113119048374467,12.220580641532829,29.792014269918113,-16.658254950287198,3.46,1.64,262.0,93.8,17.0,91.6,2227.0,5.7,663167,575929,623520,666624,621550,663538,664023,676369,673548,54.78,,,,,,,,22,4,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,149.0,0.0,0.0,,,,0.0,93.8,1,-1,0.661,0.339,33,24,33,25,2,1,17.0,1.0,,2.0,1.46,0.88,-0.88,40.7
