pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
ST,2022-10-05,84.7,-2.67,5.61,"Ohtani, Shohei",660650,660271,strikeout,swinging_strike,,,,,5.0,Dermis Garcia strikes out swinging.,R,R,R,OAK,LAA,S,2.0,,0,2,2022,1.25,0.01,0.16,2.99,,676391.0,,2,5,Bot,,,,,,,4.152619863701284,-123.2677571444113,0.2477402052866668,11.852505602522625,25.86997118671424,-32.31216236757187,3.67,1.84,,,,85.3,2667.0,6.8,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.72,,0.0,0.0,1.0,0.0,0.0,,36,3,Sweeper,1,0,1,0,0,1,1,0,Standard,Standard,58.0,-0.033,-0.184,,,,0.184,,1,1,0.7,0.7,27,24,28,24,2,1,6.0,1.0,,,3.18,-1.25,-1.25,31.5
ST,2022-10-05,83.9,-2.53,5.58,"Ohtani, Shohei",660650,660271,,swinging_strike,,,,,6.0,Dermis Garcia strikes out swinging.,R,R,R,OAK,LAA,S,,,0,1,2022,1.41,0.2,0.62,2.9,,676391.0,,2,5,Bot,,,,,,,4.536309705284413,-122.07505676596024,-0.1425280965262728,13.047472294802152,25.695461828479896,-30.375198111998095,3.67,1.84,,,,84.4,2634.0,6.8,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.71,,,,,,,,36,2,Sweeper,1,0,1,0,0,1,1,0,Standard,Standard,64.0,0.0,-0.056,,,,0.056,,1,1,0.7,0.7,27,24,28,24,2,1,6.0,1.0,,,3.06,-1.41,-1.41,31.3
ST,2022-10-05,84.4,-2.55,5.65,"Ohtani, Shohei",660650,660271,,swinging_strike,,,,,14.0,Dermis Garcia strikes out swinging.,R,R,R,OAK,LAA,S,,,0,0,2022,1.26,0.25,0.79,1.43,,676391.0,,2,5,Bot,,,,,,,5.303030129673567,-122.6912562124333,-3.891362541213812,11.50963806756327,26.648356778601357,-29.074814601054957,3.67,1.84,,,,84.8,2526.0,6.9,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.65,,,,,,,,36,1,Sweeper,1,0,1,0,0,1,1,0,Standard,Standard,63.0,0.0,-0.042,,,,0.042,,1,1,0.7,0.7,27,24,28,24,2,1,6.0,1.0,,,2.98,-1.26,-1.26,32.6
CU,2022-10-05,74.3,-1.84,6.2,"Ohtani, Shohei",668843,660271,sac_fly,hit_into_play,,,,,4.0,Conner Capel out on a sacrifice fly to center fielder Mike Trout.   Stephen Vogt scores.,R,L,R,OAK,LAA,X,8.0,fly_ball,0,0,2022,0.93,-1.1,-0.34,2.2,519390.0,676391.0,,1,5,Bot,109.88,60.22,,,,,1.452380936835323,-108.12886877895306,1.0452782592937149,6.987126154491066,20.90474402211983,-41.18865889706724,3.36,1.67,345.0,92.4,32.0,74.4,2389.0,6.6,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.87,0.083,0.152,0.0,1.0,0.0,0.0,3.0,35,1,Curveball,0,0,0,0,0,1,1,0,Infield shift,Standard,38.0,0.019,-0.216,,,0.278,0.216,92.4,0,0,0.681,0.681,27,25,28,25,2,1,6.0,1.0,,,5.27,-0.93,0.93,47.6
ST,2022-10-05,85.6,-2.49,5.58,"Ohtani, Shohei",640461,660271,double,hit_into_play,,,,,4.0,Chad Pinder doubles (18) on a line drive to left fielder Jo Adell.   Stephen Vogt to 3rd.,R,R,R,OAK,LAA,X,7.0,line_drive,2,2,2022,1.08,0.52,-0.72,2.75,,,519390.0,1,5,Bot,36.65,97.97,,,,,2.0231922786520133,-124.73911338150032,-1.475719915702829,10.910511339827156,24.540552980333644,-26.638773586255756,3.4,1.61,246.0,93.3,15.0,86.6,2474.0,6.8,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.7,0.874,0.881,1.25,1.0,1.0,1.0,4.0,34,5,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,65.0,0.112,0.793,,,1.118,-0.793,93.3,0,0,0.569,0.569,27,30,28,30,2,1,6.0,1.0,,,2.57,-1.08,-1.08,31.6
ST,2022-10-05,87.3,-2.5,5.55,"Ohtani, Shohei",640461,660271,,ball,,,,,14.0,Chad Pinder doubles (18) on a line drive to left fielder Jo Adell.   Stephen Vogt to 3rd.,R,R,R,OAK,LAA,B,,,1,2,2022,1.42,0.23,1.91,2.41,,,519390.0,1,5,Bot,,,,,,,7.747159782755833,-126.96754868509832,-1.873288867208284,13.702554314428957,26.568339779276425,-29.470416596484412,3.58,1.63,,,,87.9,2558.0,6.7,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.78,,,,,,,,34,4,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,61.0,0.0,0.049,,,,-0.049,,0,0,0.569,0.569,27,30,28,30,2,1,6.0,1.0,,,2.77,-1.42,-1.42,30.2
SI,2022-10-05,96.5,-2.27,5.69,"Ohtani, Shohei",640461,660271,,foul,,,,,5.0,Chad Pinder doubles (18) on a line drive to left fielder Jo Adell.   Stephen Vogt to 3rd.,R,R,R,OAK,LAA,S,,,1,1,2022,-1.17,0.47,-0.21,2.78,,,519390.0,1,5,Bot,,,,,,,8.259657035830632,-140.41561586105362,-3.2822599788877564,-17.360409526349002,29.7714024246661,-25.413218332383853,3.4,1.61,282.0,88.1,34.0,97.9,1902.0,6.9,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.58,,,,,,,,34,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,225.0,0.0,-0.059,,,,0.059,88.1,0,0,0.569,0.569,27,30,28,30,2,1,6.0,1.0,,,1.97,1.17,1.17,34.9
SI,2022-10-05,95.9,-2.3,5.7,"Ohtani, Shohei",640461,660271,,swinging_strike,,,,,13.0,Chad Pinder doubles (18) on a line drive to left fielder Jo Adell.   Stephen Vogt to 3rd.,R,R,R,OAK,LAA,S,,,1,0,2022,-1.56,0.33,-1.04,1.64,,,519390.0,1,5,Bot,,,,,,,6.9353427839911745,-139.44908838481058,-5.9323525696804555,-21.91724455600835,31.60503903908963,-26.65695807473709,3.4,1.61,,,,96.9,1828.0,6.9,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.61,,,,,,,,34,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,221.0,0.0,-0.049,,,,0.049,,0,0,0.569,0.569,27,30,28,30,2,1,6.0,1.0,,,2.15,1.56,1.56,35.2
SI,2022-10-05,95.0,-2.18,5.76,"Ohtani, Shohei",640461,660271,,ball,,,,,14.0,Chad Pinder doubles (18) on a line drive to left fielder Jo Adell.   Stephen Vogt to 3rd.,R,R,R,OAK,LAA,B,,,0,0,2022,-1.29,0.66,0.16,1.43,,,519390.0,1,5,Bot,,,,,,,9.107170576964982,-137.9900593714711,-7.238361812240389,-18.4874538908898,27.957359218010723,-22.360877393451172,3.62,1.67,,,,96.2,1814.0,6.9,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.61,,,,,,,,34,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,220.0,0.0,0.035,,,,-0.035,,0,0,0.569,0.569,27,30,28,30,2,1,6.0,1.0,,,1.86,1.29,1.29,36.6
ST,2022-10-05,87.9,-2.56,5.68,"Ohtani, Shohei",519390,660271,walk,ball,,,,,11.0,Stephen Vogt walks.,R,L,R,OAK,LAA,B,,,3,2,2022,0.91,0.85,-1.15,3.62,,,,1,5,Bot,,,,,,,1.5584752503495682,-128.19158354626774,-0.7173736631313379,9.781770898578651,24.61589778968576,-22.773221785692417,3.05,1.55,,,,89.1,2450.0,6.7,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.76,,0.688744,0.7,1.0,0.0,0.0,,33,6,Sweeper,0,0,0,0,0,0,0,0,Infield shift,Standard,74.0,0.033,0.335,,,,-0.335,,0,0,0.536,0.536,27,37,28,38,2,1,6.0,1.0,,,2.07,-0.91,0.91,31.7
