pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
ST,2024-09-29,76.5,-1.98,5.5,"Maeda, Kenta",676113,628317,strikeout,called_strike,,,,,13,Zach DeLoach called out on strikes.,R,L,R,DET,CWS,S,2.0,,2,2,2024,1.24,0.13,-0.94,1.88,,,678246.0,1,5,Top,,,,,,,-0.0188933384507588,-111.60604752452686,-0.9586244908759048,10.420960464383136,18.028604532713217,-31.13667843885391,3.31,1.57,,,,76.6,2510,6.0,746416,668670,679529,690993,663837,700242,682985,678009,672761,54.49,,0.0,0.0,1.0,0.0,0.0,,36,5,Sweeper,0,5,5,0,5,0,5,0,Infield shade,Strategic,49,0.006,-0.229,,,,0.229,,-5,5,0.056,0.944,36,25,36,26,3,2,9.0,1.0,,,3.72,-1.24,1.24,38.5
FS,2024-09-29,80.6,-2.01,5.67,"Maeda, Kenta",676113,628317,,ball,,,,,13,Zach DeLoach called out on strikes.,R,L,R,DET,CWS,B,,,1,2,2024,-0.89,0.03,-1.04,1.49,,,678246.0,1,5,Top,,,,,,,3.844988682258964,-117.36989334630331,-2.7568885142377795,-8.956021564657188,19.670160833400217,-31.65885492853001,3.25,1.52,,,,80.7,1297,6.1,746416,668670,679529,690993,663837,700242,682985,678009,672761,54.42,,,,,,,,36,4,Split-Finger,0,5,5,0,5,0,5,0,Infield shade,Strategic,240,0.0,0.048,,,,-0.048,,-5,5,0.056,0.944,36,25,36,26,3,2,9.0,1.0,,,3.45,0.89,-0.89,39.7
FS,2024-09-29,81.7,-1.96,5.61,"Maeda, Kenta",676113,628317,,swinging_strike,,,,,13,Zach DeLoach called out on strikes.,R,L,R,DET,CWS,S,,,1,1,2024,-0.85,0.11,-0.09,1.17,,,678246.0,1,5,Top,,,,,,,5.8231202722516295,-118.92813367617866,-3.721497587785236,-9.07164880854597,19.171924455620033,-30.68086967904075,3.37,1.59,,,,82.0,1315,6.1,746416,668670,679529,690993,663837,700242,682985,678009,672761,54.41,,,,,,,,36,3,Split-Finger,0,5,5,0,5,0,5,0,Infield shade,Strategic,243,0.0,-0.059,72.7,8.0,,0.059,,-5,5,0.056,0.944,36,25,36,26,3,2,9.0,1.0,,,3.26,0.85,-0.85,38.7
ST,2024-09-29,75.6,-1.97,5.59,"Maeda, Kenta",676113,628317,,called_strike,,,,,8,Zach DeLoach called out on strikes.,R,L,R,DET,CWS,S,,,1,0,2024,1.45,-0.16,-0.25,1.48,,,678246.0,1,5,Top,,,,,,,0.9975044316034818,-110.12801619842604,-1.1590753119601762,11.6141859483354,20.437653105190552,-33.50954713645025,3.17,1.49,,,,75.3,2498,6.1,746416,668670,679529,690993,663837,700242,682985,678009,672761,54.41,,,,,,,,36,2,Sweeper,0,5,5,0,5,0,5,0,Infield shade,Strategic,56,0.0,-0.047,,,,0.047,,-5,5,0.056,0.944,36,25,36,26,3,2,9.0,1.0,,,4.16,-1.45,1.45,40.0
FS,2024-09-29,80.0,-2.0,5.67,"Maeda, Kenta",676113,628317,,ball,,,,,13,Zach DeLoach called out on strikes.,R,L,R,DET,CWS,B,,,0,0,2024,-0.78,0.15,-1.4,2.03,,,678246.0,1,5,Top,,,,,,,2.7857038496021937,-116.6158242568145,-1.6940684826925776,-7.689461073302317,19.30679754564582,-30.697803944623193,3.23,1.46,,,,80.0,1387,5.9,746416,668670,679529,690993,663837,700242,682985,678009,672761,54.59,,,,,,,,36,1,Split-Finger,0,5,5,0,5,0,5,0,Infield shade,Strategic,243,0.0,0.036,,,,-0.036,,-5,5,0.056,0.944,36,25,36,26,3,2,9.0,1.0,,,3.36,0.78,-0.78,40.9
ST,2024-09-29,77.0,-2.06,5.61,"Maeda, Kenta",673357,628317,field_out,hit_into_play,,,,,7,Luis Robert Jr. flies out to left fielder Riley Greene.,R,R,R,DET,CWS,X,7.0,fly_ball,2,1,2024,0.95,0.39,-0.47,2.28,,,678246.0,0,5,Top,99.24,96.23,,,,,1.6530071010408411,-112.2280133201306,-0.8338955742914895,7.699523808390064,20.09278041727183,-28.941950825300317,3.76,1.72,266.0,77.6,39.0,76.8,2522,6.1,746416,668670,679529,690993,663837,700242,682985,678009,672761,54.45,0.051,0.052,0.0,1.0,0.0,0.0,3.0,35,4,Sweeper,0,5,5,0,5,0,5,0,Standard,Standard,75,0.006,-0.282,84.1,7.8,0.067,0.282,88.0,-5,5,0.05,0.95,36,26,36,27,3,2,9.0,3.0,,,3.44,-0.95,-0.95,40.1
SI,2024-09-29,87.3,-1.99,5.53,"Maeda, Kenta",673357,628317,,ball,,,,,14,Luis Robert Jr. flies out to left fielder Riley Greene.,R,R,R,DET,CWS,B,,,1,1,2024,-0.95,0.63,1.04,1.96,,,678246.0,0,5,Top,,,,,,,9.199236345354182,-126.8720941657944,-3.7597744245016935,-12.088503452092386,24.22670161707576,-24.72532478470776,3.69,1.64,,,,87.1,2157,6.1,746416,668670,679529,690993,663837,700242,682985,678009,672761,54.4,,,,,,,,35,3,Sinker,0,5,5,0,5,0,5,0,Standard,Standard,214,0.0,0.043,,,,-0.043,,-5,5,0.05,0.95,36,26,36,27,3,2,9.0,3.0,,,2.35,0.95,0.95,42.2
SI,2024-09-29,87.3,-1.86,5.51,"Maeda, Kenta",673357,628317,,called_strike,,,,,14,Luis Robert Jr. flies out to left fielder Riley Greene.,R,R,R,DET,CWS,S,,,1,0,2024,-1.2,0.54,0.94,2.02,,,678246.0,0,5,Top,,,,,,,9.176535859088329,-126.93630355561424,-3.389540147030888,-14.786183771477775,24.001713770943937,-25.789232622702087,3.79,1.75,,,,87.3,2134,6.1,746416,668670,679529,690993,663837,700242,682985,678009,672761,54.37,,,,,,,,35,2,Sinker,0,5,5,0,5,0,5,0,Standard,Standard,213,0.0,-0.049,,,,0.049,,-5,5,0.05,0.95,36,26,36,27,3,2,9.0,3.0,,,2.43,1.2,1.2,38.0
FS,2024-09-29,81.3,-1.85,5.72,"Maeda, Kenta",673357,628317,,ball,,,,,11,Luis Robert Jr. flies out to left fielder Riley Greene.,R,R,R,DET,CWS,B,,,0,0,2024,-0.83,-0.04,-1.38,2.91,,,678246.0,0,5,Top,,,,,,,2.6179612373191623,-118.44599104962178,0.3178538178033172,-8.345781721917868,20.205252464598324,-32.829833804782254,3.71,1.67,,,,81.4,1205,6.0,746416,668670,679529,690993,663837,700242,682985,678009,672761,54.47,,,,,,,,35,1,Split-Finger,0,5,5,0,5,0,5,0,Standard,Standard,232,0.0,0.042,,,,-0.042,,-5,5,0.05,0.95,36,26,36,27,3,2,9.0,3.0,,,3.45,0.83,0.83,43.6
ST,2024-09-29,76.4,-2.12,5.5,"Maeda, Kenta",678246,628317,hit_by_pitch,hit_by_pitch,,,,,11,Miguel Vargas hit by pitch.,R,R,R,DET,CWS,B,,,2,0,2024,1.28,0.38,-1.96,3.59,,,,0,5,Top,,,,,,,-1.9390633848980283,-111.27609422956972,2.281833826956327,10.993980873328756,19.448839518281016,-29.62610905500332,3.27,1.56,,,,76.0,2482,5.9,746416,668670,679529,690993,663837,700242,682985,678009,672761,54.61,,0.720192,0.7,1.0,0.0,0.0,,34,3,Sweeper,0,5,5,0,5,0,5,0,Standard,Standard,70,-0.007,0.344,,,,-0.344,,-5,5,0.057,0.943,36,24,36,25,3,2,9.0,1.0,,,3.51,-1.28,-1.28,38.7
